,open,high,low,close,volume,predicted_close
2025-06-11,,,,,,4.876241069367249
2025-06-12,,,,,,4.887549939624608
2025-06-13,,,,,,4.986250450463193
2025-06-14,,,,,,4.994999592966506
2025-06-15,,,,,,4.791697100307354
2025-06-16,,,,,,4.884682695386452
2025-06-17,,,,,,4.999721240230525
2025-06-18,,,,,,5.026388533877211
2025-06-19,,,,,,5.027564018351204
2025-06-20,,,,,,4.901187940695315
2025-06-21,,,,,,4.867394484356632
2025-06-22,,,,,,4.886569372253757
2025-06-23,,,,,,4.763047389928571
2025-06-24,,,,,,4.846999073812994
2025-06-25,,,,,,4.914451541515699
2025-06-26,,,,,,4.848325340700605
2025-06-27,,,,,,4.82916016317384
2025-06-28,,,,,,5.18046171442104
2025-06-29,,,,,,5.065663043811326
2025-06-30,,,,,,4.91215079541266
2025-07-01,,,,,,4.815182063935176
2025-07-02,,,,,,4.518983010867862
2025-07-03,,,,,,4.24331698037058
2025-07-04,,,,,,4.193585555030734
2025-07-05,,,,,,3.8601297139268422
2025-07-06,,,,,,3.6936385117621864
2025-07-07,,,,,,3.5790426961291377
2025-07-08,,,,,,4.778127626344685
2025-07-09,,,,,,5.964393965566426
2025-07-10,,,,,,7.4667097246379335
2025-07-11,,,,,,9.049153488393289
2025-07-12,,,,,,8.591017438088624
2025-07-13,,,,,,7.6560941566308705
2025-07-14,,,,,,7.211686931690329
2025-07-15,,,,,,7.402458851590585
2025-07-16,,,,,,6.659013717587916
2025-07-17,,,,,,6.512102768558895
2025-07-18,,,,,,6.411450893242271
2025-07-19,,,,,,5.978565301374998
2025-07-20,,,,,,5.053046612671384
2025-07-21,,,,,,4.361881968202817
2025-07-22,,,,,,3.888664328440228
2025-07-23,,,,,,3.5116595308215945
2025-07-24,,,,,,3.9076118106460087
2025-07-25,,,,,,3.837387457615217
2025-07-26,,,,,,3.8061000085958825
2025-07-27,,,,,,3.671097352387736
2025-07-28,,,,,,3.5920356900913117
2025-07-29,,,,,,3.4814129476951803
2025-07-30,,,,,,3.670670669263185
2025-07-31,,,,,,3.5913179970715317
2025-08-01,,,,,,3.591146162367556
2025-08-02,,,,,,3.701487902350222
2025-08-03,,,,,,3.5387458067588686
2025-08-04,,,,,,3.9472276292622626
2025-08-05,,,,,,3.9038053243552957
2025-08-06,,,,,,3.903545876142534
2025-08-07,,,,,,3.8181261970957183
2025-08-08,,,,,,4.136932870571473
2025-08-09,,,,,,3.973575395857009
2025-08-10,,,,,,3.894360361675356
2025-08-11,,,,,,3.631727472054383
2025-08-12,,,,,,3.8313650597764353
2025-08-13,,,,,,3.8716015145623124
2025-08-14,,,,,,3.940822678251695
2025-08-15,,,,,,3.8260726893552146
2025-08-16,,,,,,3.917606785075564
2025-08-17,,,,,,4.00689524563556
2025-08-18,,,,,,4.101976535690136
2025-08-19,,,,,,4.140381708074382
